2017-03-14 08:21:14,332 [Worker-50] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-websocket-api/9.0.0.M13/tomcat-websocket-api-9.0.0.M13.jar
2017-03-14 08:21:14,456 [Worker-36] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-jaspic-api/9.0.0.M13/tomcat-jaspic-api-9.0.0.M13.jar
2017-03-14 08:21:14,503 [Worker-45] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-jdbc/9.0.0.M13/tomcat-jdbc-9.0.0.M13.jar
2017-03-14 08:21:14,568 [Worker-47] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-util-scan/9.0.0.M13/tomcat-util-scan-9.0.0.M13.jar
2017-03-14 08:21:14,711 [Worker-43] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-i18n-fr/9.0.0.M13/tomcat-i18n-fr-9.0.0.M13.jar
2017-03-14 08:21:14,712 [Worker-44] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-i18n-ja/9.0.0.M13/tomcat-i18n-ja-9.0.0.M13.jar
2017-03-14 08:21:14,721 [Worker-33] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-el-api/9.0.0.M13/tomcat-el-api-9.0.0.M13.jar
2017-03-14 08:21:14,829 [Worker-48] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-util/9.0.0.M13/tomcat-util-9.0.0.M13.jar
2017-03-14 08:21:14,962 [Worker-42] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-i18n-es/9.0.0.M13/tomcat-i18n-es-9.0.0.M13.jar
2017-03-14 08:21:14,990 [Worker-24] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-storeconfig/9.0.0.M13/tomcat-storeconfig-9.0.0.M13.jar
2017-03-14 08:21:15,003 [Worker-39] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-api/9.0.0.M13/tomcat-api-9.0.0.M13.jar
2017-03-14 08:21:15,004 [Worker-38] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-servlet-api/9.0.0.M13/tomcat-servlet-api-9.0.0.M13.jar
2017-03-14 08:21:15,172 [Worker-39] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-api/9.0.0.M13/tomcat-api-9.0.0.M13.jar
2017-03-14 08:21:15,346 [Worker-29] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-catalina-ha/9.0.0.M13/tomcat-catalina-ha-9.0.0.M13.jar
2017-03-14 08:21:15,715 [Worker-38] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-servlet-api/9.0.0.M13/tomcat-servlet-api-9.0.0.M13.jar
2017-03-14 08:21:15,760 [Worker-24] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-storeconfig/9.0.0.M13/tomcat-storeconfig-9.0.0.M13.jar
2017-03-14 08:21:15,821 [Worker-44] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-i18n-ja/9.0.0.M13/tomcat-i18n-ja-9.0.0.M13.jar
2017-03-14 08:21:15,978 [Worker-29] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-catalina-ha/9.0.0.M13/tomcat-catalina-ha-9.0.0.M13.jar
2017-03-14 08:21:17,322 [Worker-28] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-catalina-ant/9.0.0.M13/tomcat-catalina-ant-9.0.0.M13.jar
2017-03-14 08:21:17,323 [Worker-34] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-jasper-el/9.0.0.M13/tomcat-jasper-el-9.0.0.M13.jar
2017-03-14 08:21:17,348 [Worker-49] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-websocket/9.0.0.M13/tomcat-websocket-9.0.0.M13.jar
2017-03-14 08:21:17,408 [Worker-35] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-jasper/9.0.0.M13/tomcat-jasper-9.0.0.M13.jar
